SK_ID_CURR,PRED_CLASSE,SCORE_CLIENT,PAYMENT_RATE,EXT_SOURCE_2,EXT_SOURCE_3,EXT_SOURCE_1,Âge (ans),Sexe,Annuités ($),PREV_CNT_PAYMENT_MEAN,Anciennete (ans),Niveau éducation,Statut familial,Montant du crédit ($),INSTAL_AMT_INSTALMENT_SUM,INSTAL_DPD_MEAN,DAYS_ID_PUBLISH,POS_MONTHS_BALANCE_MAX,FLAG_OWN_CAR,ANNUITY_INCOME_PERC,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,REGION_POPULATION_RELATIVE,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_DBD_MAX,BURO_AMT_CREDIT_SUM_DEBT_MAX,PREV_APP_CREDIT_PERC_MIN,CLOSED_DAYS_CREDIT_ENDDATE_MAX,BURO_DAYS_CREDIT_ENDDATE_MAX,APPROVED_CNT_PAYMENT_SUM,BURO_DAYS_CREDIT_MAX,INSTAL_DBD_SUM
320753,0,0.1290757144231038,0.0488771466314399,0.7495898931998699,0.4170996682522097,0.5059935113854908,55,Feminin,26640.0,14.0,0,Higher education,Married,545040.0,1447795.53,0.2608695652173913,-3751,-7.0,0,0.1973333333333333,-2118.0,0.030755,0.0,30.0,318852.0,0.0,-921.0,31102.0,42.0,-140.0,250.0
222057,0,0.3412131115821072,0.0398236217563948,0.2952236520778634,0.363945238612397,0.4843951017405933,38,Masculin,31050.0,5.333333333333333,1,Secondary / secondary special,Separated,779688.0,51940.125,0.0,-5219,-70.0,0,0.2464285714285714,252.0,0.018801,0.0,15.0,149458.5,0.0,-2491.0,-2491.0,16.0,-2862.0,108.0
435974,0,0.0731101473683142,0.0510531767955801,0.063655222959855,0.3893387918468769,0.5059935113854908,31,Masculin,26613.0,19.27272727272728,8,Secondary / secondary special,Married,521280.0,621210.915,0.0,-1271,-3.0,1,0.1971333333333333,203.0,0.025164,-1810.998,32.0,9215.91,0.8632596685082873,1082.0,30984.0,58.0,-104.0,187.0
439107,0,0.1937907611452392,0.0921458020152708,0.574332428050031,0.5602843280409464,0.5059935113854908,51,Feminin,27859.5,10.0,6,Secondary / secondary special,Married,302341.5,19915.11,0.0,-602,-75.0,0,0.2134827586206896,252.0,0.00823,0.0,7.0,0.0,1.0263488080301129,245.0,245.0,10.0,-666.0,38.0
129242,0,0.1097358301986823,0.0701052631578947,0.5678298487660756,0.5549467685334323,0.5059935113854908,51,Masculin,17982.0,9.4,6,Secondary / secondary special,Separated,256500.0,191622.735,0.0,-2484,-2.0,0,0.1141714285714285,-415.0,0.028663,0.0,39.0,23328.0,0.919099150575922,-1151.0,6.0,47.0,-298.0,439.0
118295,0,0.0264119163205297,0.07958,0.6324849450120994,0.3656165070113335,0.3811191818338,35,Masculin,17905.5,12.0,3,Higher education,Civil marriage,225000.0,215538.84,0.0,-4965,-7.0,1,0.07958,68.0,0.0145199999999999,0.0,80.0,228181.5,1.25,-290.0,1022.0,12.0,-114.0,436.0
208257,0,0.30141563045663,0.0428585937235519,0.2652563401861944,0.3979463219016906,0.5059935113854908,63,Masculin,11394.0,12.6,4,Secondary / secondary special,Married,265851.0,324570.195,0.7818181818181819,-4075,-1.0,0,0.171081081081081,332.0,0.031329,567.6144545454546,33.0,84235.5,0.8347245409015025,-2322.0,1082.0,51.0,-32.0,291.0
178527,0,0.069075790693639,0.0678953729281768,0.7673228738412513,0.5352762504724826,0.2226830068648184,26,Masculin,35392.5,12.0,3,Incomplete higher,Married,521280.0,301158.54,7.909090909090909,-203,-45.0,1,0.3277083333333333,252.0,0.04622,6220.485,46.0,149458.5,1.1883078146748856,-211.0,909.5,12.0,-300.0,185.0
200581,0,0.0914390663648606,0.0322557463321871,0.5058402624021597,0.2405414172860865,0.5059935113854908,46,Masculin,26257.5,14.0,24,Secondary / secondary special,Married,814041.0,161625.87,0.0,-505,-2.0,1,0.145875,231.0,0.030755,0.0,31.0,163251.0,0.8440243079000675,-1798.0,27515.0,70.0,-39.0,427.0
410118,0,0.0488254723754483,0.0614837830935558,0.6981580234762247,0.7583930617144343,0.5059935113854908,60,Masculin,26001.0,24.0,4,Secondary / secondary special,Married,422892.0,989292.105,0.671875,-4988,-12.0,0,0.1926,46.0,0.00733,1851.6346875,37.0,22293.0,0.8573939510856751,80.0,80.0,60.0,-138.0,495.0
278733,0,0.0407539127686285,0.0294066499721758,0.5714858891423581,0.5352762504724826,0.5059935113854908,58,Masculin,22828.5,23.6,14,Secondary / secondary special,Married,776304.0,4324670.46,0.0099009900990099,-4788,-2.0,0,0.211375,252.0,0.035792,0.0,32.0,149458.5,0.9204368174726988,-211.0,909.5,118.0,-300.0,957.0
123901,0,0.0126107424041328,0.0979615384615384,0.6774943920664882,0.6706517530862718,0.5059935113854908,53,Feminin,22923.0,12.0,18,Secondary / secondary special,Married,234000.0,99902.88,0.0,-3177,-75.0,1,0.2547,252.0,0.01885,0.0,70.0,0.0,1.1111245465538089,-688.0,-688.0,12.0,-976.0,339.0
319941,0,0.1052624567272375,0.0427264239028944,0.3694828153590521,0.6109913280868294,0.5059935113854908,57,Masculin,15444.0,52.0,4,Secondary / secondary special,Married,361462.5,1213689.42,0.2,-3594,-2.0,0,0.2288,953.0,0.00702,365.1,36.0,0.0,0.8347245409015025,1286.0,1286.0,156.0,-394.0,380.0
104766,0,0.0467066119038183,0.0484625,0.6886234034768254,0.8050196619153701,0.6908030829303204,50,Masculin,17446.5,18.0,30,Secondary / secondary special,Married,360000.0,449485.56,1.4727272727272729,-2116,-3.0,0,0.1107714285714285,1292.0,0.0145199999999999,491.13163636363646,94.0,1190173.5,0.8347245409015025,-115.0,1292.0,54.0,-534.0,1221.0
372220,0,0.0491991561718973,0.0676456542502387,0.4969732603473035,0.5352762504724826,0.3721581076363698,28,Masculin,12748.5,24.0,0,Incomplete higher,Married,188460.0,569830.1849999999,0.1290322580645161,-1054,-1.0,0,0.14165,252.0,0.020246,562.038387096774,31.0,149458.5,0.747579710686652,-211.0,909.5,60.0,-300.0,113.0
329152,0,0.0479095862642412,0.0293627681625697,0.6984528683753916,0.5352762504724826,0.5059935113854908,39,Feminin,31171.5,15.0,12,Secondary / secondary special,Married,1061599.5,2292546.24,0.2678571428571428,-4671,-1.0,1,0.1979142857142857,252.0,0.025164,173.8052678571429,21.0,149458.5,0.0,-211.0,909.5,90.0,-300.0,646.0
283984,1,0.6023826577923703,0.0468543593130779,0.1608918464815295,0.3979463219016906,0.2701278290265504,28,Masculin,25537.5,29.0,1,Secondary / secondary special,Widow,545040.0,74745.9,0.0,-2394,-34.0,1,0.17734375,282.0,0.006852,0.0,22.0,71955.0,0.9237798821270116,-211.0,282.0,58.0,-22.0,158.0
424729,0,0.0093355622351398,0.1027475728155339,0.4509471776819871,0.6296742509538716,0.5059935113854908,24,Masculin,47623.5,7.333333333333333,1,Secondary / secondary special,Single / not married,463500.0,311291.235,0.0,-1569,-2.0,1,0.3527666666666667,252.0,0.006629,0.0,24.0,0.0,0.9191089453532892,1539.0,1539.0,22.0,-652.0,166.0
375835,0,0.067009646143708,0.0535317166154823,0.5163966888236008,0.5352762504724826,0.5059935113854908,46,Feminin,27297.0,9.0,7,Secondary / secondary special,Civil marriage,509922.0,1386159.48,0.4171428571428571,-345,-12.0,1,0.15165,252.0,0.011703,-268.86060000000003,30.0,149458.5,0.838703364598331,-211.0,909.5,18.0,-300.0,800.0
374198,0,0.0384757030159339,0.0293370516608222,0.3379843914120104,0.7309873696832169,0.5059935113854908,57,Feminin,38250.0,36.0,11,Secondary / secondary special,Married,1303812.0,794481.84,0.0,-4128,-2.0,1,0.1545454545454545,252.0,0.0031219999999999,-35357.142857142855,15.0,0.0,0.9066511931529702,-351.0,-351.0,36.0,-2177.0,75.0
320908,0,0.1053514041154713,0.0323973256924546,0.6042617820174507,0.5954562029091491,0.5059935113854908,63,Masculin,30528.0,10.0,7,Secondary / secondary special,Separated,942300.0,53914.635,0.0,-4368,-37.0,0,0.13568,252.0,0.04622,0.0,24.0,0.0,1.0,-611.0,-611.0,10.0,-915.0,154.0
400006,0,0.0471532725529404,0.0483616231038911,0.6933765221573932,0.3539876078507373,0.6593467942193807,29,Masculin,25078.5,12.0,8,Higher education,Married,518562.0,223964.235,0.0909090909090909,-3334,-1.0,0,0.0696625,848.0,0.030755,0.0,2.0,881113.5,0.9380863039399624,-605.0,3436.0,12.0,-55.0,4.0
446021,0,0.4078943307436911,0.079,0.1849405183504009,0.5100895276257282,0.2310358097105899,39,Feminin,21330.0,7.6,7,Higher education,Married,270000.0,189453.42,0.0,-4089,-9.0,0,0.1053333333333333,1830.0,0.028663,0.0,59.0,1054008.0,0.9044843775295452,464.0,1830.0,38.0,-261.0,508.0
320144,0,0.0082933647755251,0.1193764798737174,0.7125445641177488,0.5744466170995097,0.3089487887707809,25,Feminin,21780.0,7.2,0,Incomplete higher,Married,182448.0,345337.065,0.0,-1568,-10.0,0,0.121,252.0,0.009334,0.0,20.0,0.0,0.909933774834437,596.0,596.0,30.0,-715.0,207.0
359041,0,0.207305927927266,0.05,0.0647125368708057,0.2055981385493208,0.3133632508007265,25,Masculin,10125.0,15.0,0,Higher education,Married,202500.0,119194.11,0.0,-1543,-2.0,1,0.0346153846153846,147.0,0.00702,0.0,39.0,62550.0,1.0,-211.0,31195.0,30.0,-154.0,267.0
229979,0,0.0539835257506342,0.1082127351664254,0.2936790399299679,0.5352762504724826,0.5059935113854908,43,Masculin,26919.0,8.0,24,Secondary / secondary special,Married,248760.0,309813.03,0.0,-4419,-2.0,0,0.2136428571428571,252.0,0.010556,-12000.0,45.0,149458.5,1.1129032258064515,-211.0,909.5,16.0,-300.0,129.0
260217,0,0.0263867750276958,0.0467050056492871,0.4612592634759896,0.5316861425197883,0.3857668277645566,33,Masculin,16555.5,12.0,8,Secondary / secondary special,Single / not married,354469.5,328357.485,0.0384615384615384,-895,-4.0,0,0.2043888888888889,252.0,0.031329,0.0,31.0,0.0,0.8988052373627464,-57.0,-57.0,30.0,-301.0,266.0
334196,0,0.0628943102568222,0.0483622215601395,0.60013911887132,0.5460231970049609,0.5059935113854908,49,Masculin,24835.5,16.0,13,Secondary / secondary special,Married,513531.0,591385.86,0.0,-1515,-7.0,0,0.137975,626.0,0.022625,0.0,29.0,431122.5,0.0,-672.0,1320.0,12.0,-81.0,925.0
258768,0,0.0480843398310559,0.0514613180515759,0.6101136627397501,0.4920600938649263,0.5059935113854908,59,Masculin,16164.0,0.0,4,Secondary / secondary special,Married,314100.0,1118933.235,0.1052631578947368,-5072,-89.0,0,0.1197333333333333,-45.0,0.019101,67.66917293233082,30.0,620572.5,0.0,-425.0,1322.0,0.0,-504.0,713.0
265067,0,0.0173068905731178,0.0468543593130779,0.487310477441797,0.5531646987710016,0.5059935113854908,33,Feminin,25537.5,10.0,8,Higher education,Married,545040.0,84387.23999999999,0.0,-4423,-1.0,1,0.1031818181818181,904.0,0.022625,0.0,13.0,1047703.5,1.0,12913.0,12913.0,10.0,-105.0,74.0
310944,0,0.0422373163708543,0.0560415955388642,0.4268638620523085,0.6832688314232291,0.5059935113854908,58,Feminin,35455.5,9.0,6,Secondary / secondary special,Married,632664.0,201085.56,0.0,-4729,-58.0,1,0.196975,417.0,0.006852,0.0,20.0,670644.0,1.0228733563505472,498.0,596.0,18.0,-135.0,210.0
431855,0,0.0236124477934715,0.0361220472440944,0.5517946596708423,0.7675231046555077,0.5059935113854908,52,Masculin,23121.0,7.0,33,Secondary / secondary special,Widow,640080.0,79599.91500000001,11.736842105263158,-568,-49.0,1,0.2569,85.0,0.030755,208.0847368421053,60.0,155479.5,1.0189912191137431,-892.0,212.0,18.0,-883.0,402.0
113315,0,0.0024212921839046,0.1000920634161505,0.7281273329909681,0.5352762504724826,0.6858707973888228,30,Masculin,75343.5,24.0,0,Higher education,Married,752742.0,891098.01,0.0,-497,-1.0,0,0.3893720930232558,8799.0,0.006629,0.0,17.0,0.0,1.0,31153.0,31153.0,24.0,-889.0,241.0
152636,0,0.0987335836981885,0.0449205465899956,0.6968476778236271,0.3296550543128238,0.8353274596818071,58,Masculin,6538.5,36.5,4,Secondary / secondary special,Married,145557.0,700549.605,0.0,-1175,-1.0,1,0.036325,1043.0,0.04622,-2743.9673684210525,30.0,289975.5,0.8732094009605303,-2562.0,1587.0,146.0,-239.0,227.0
417137,0,0.1754918629437117,0.0790034567370551,0.6147279962042024,0.722392890081304,0.762823746282318,43,Feminin,39699.0,6.0,2,Secondary / secondary special,Married,502497.0,45764.46,4.125,-4350,-27.0,0,0.17644,252.0,0.04622,0.0,9.0,0.0,0.9352970175006162,-406.0,-406.0,6.0,-590.0,25.0
130784,0,0.1277888038378704,0.03894,0.6507598296455845,0.3201633668633456,0.2722505358736656,29,Feminin,26284.5,12.0,0,Higher education,Married,675000.0,242633.61,0.48,-3501,-26.0,1,0.146025,530.0,0.035792,674.6813999999999,38.0,653287.5,1.0,374.0,1119.0,24.0,-516.0,188.0
208684,0,0.0324112936119062,0.0293555535418605,0.6308619522930489,0.4118485559242397,0.5059935113854908,61,Masculin,32071.5,21.0,4,Higher education,Single / not married,1092519.0,656369.28,0.0,-4508,-1.0,0,0.1228793103448275,738.0,0.028663,-448.2692307692308,23.0,27882.0,0.0,638.0,738.0,126.0,-317.0,267.0
354223,0,0.0677740933198364,0.04634,0.7096604726142427,0.7106743858828587,0.5059935113854908,41,Masculin,41706.0,6.0,0,Higher education,Married,900000.0,205418.565,0.009090909090909,-1930,-1.0,0,0.1544666666666666,1666.0,0.026392,-368.1818181818182,30.0,0.0,1.0,-954.0,1666.0,6.0,-160.0,172.0
104862,0,0.2984031412321483,0.0789983292831105,0.5874070385666036,0.4614823912998385,0.2803756797133974,35,Feminin,18724.5,11.333333333333334,2,Secondary / secondary special,Married,237024.0,1172511.45,3.944954128440367,-5334,-1.0,1,0.0924666666666666,1596.0,0.005313,745.7470183486238,41.0,1412941.5,0.0,-38.0,1596.0,62.0,-533.0,494.0
264312,0,0.0085832197188009,0.0332124769797421,0.5064415301346037,0.3893387918468769,0.5059935113854908,64,Masculin,25969.5,10.0,4,Lower secondary,Married,781920.0,158866.65000000002,0.0,-4866,-85.0,0,0.28855,111.0,0.018801,0.0,13.0,59998.5,1.1111355633802815,-323.0,204.0,10.0,-621.0,61.0
236404,0,0.002521913620521,0.1081765557163531,0.774990262867136,0.7610263695502636,0.7117366834330401,32,Masculin,29601.0,10.0,12,Secondary / secondary special,Married,273636.0,94392.945,0.0,-2284,-8.0,1,0.2192666666666666,252.0,0.072508,0.0,39.0,0.0,1.0,-806.0,-806.0,10.0,-1111.0,141.0
284759,0,0.0273869496992497,0.0573333333333333,0.3454858866640793,0.5352762504724826,0.5059935113854908,65,Masculin,3096.0,33.0,4,Secondary / secondary special,Civil marriage,54000.0,1967801.85,1.0975609756097562,-3776,-2.0,0,0.02752,-1799.0,0.0145199999999999,2258.8787195121945,35.0,0.0,0.8732099196646874,381.0,381.0,198.0,-714.0,806.0
429390,0,0.2497117381397327,0.0331423520167627,0.2513211638505997,0.5352762504724826,0.5059935113854908,45,Feminin,45553.5,9.571428571428571,0,Secondary / secondary special,Married,1374480.0,708730.245,5.722222222222222,-181,-45.0,1,0.20246,252.0,0.006852,5794.972499999999,39.0,149458.5,0.934023682596594,-211.0,909.5,29.0,-300.0,379.0
296116,0,0.0318584837988204,0.0614409306507399,0.6991064706105116,0.5352762504724826,0.5598191979474657,51,Feminin,30136.5,21.0,1,Secondary / secondary special,Married,490495.5,2431107.765,0.2291666666666666,-2172,-2.0,0,0.1217636363636363,-855.0,0.014464,-42135.1659375,67.0,168600.195,0.9034075088988645,-268.0,1336.0,84.0,-422.0,647.0
267337,0,0.071696288180383,0.0640845070422535,0.7590876102678202,0.6109913280868294,0.6860288485702738,41,Masculin,46683.0,24.0,8,Secondary / secondary special,Separated,728460.0,1462094.28,0.0579710144927536,-4140,-1.0,0,0.20748,556.0,0.04622,343.23391304347825,57.0,119947.5,0.8782715615668365,-205.0,556.0,72.0,-176.0,810.0
257164,0,0.0344628848414106,0.0974108818011257,0.2825081012492941,0.4083588531230431,0.6224054540162701,49,Masculin,11682.0,8.285714285714286,23,Higher education,Married,119925.0,816465.1950000001,1.026143790849673,-1497,-1.0,1,0.10384,-2317.0,0.025164,-102.94147058823528,43.0,224959.5,0.0,-364.0,31180.0,58.0,-225.0,1288.0
264165,0,0.2861199498801093,0.0292395958655127,0.0046447197954501,0.6446794549585961,0.5059935113854908,33,Feminin,40684.5,6.666666666666667,6,Secondary / secondary special,Married,1391418.0,124063.38,1.0,-787,-20.0,0,0.18082,598.0,0.02461,0.0,38.0,593253.0,0.9970014992503748,-211.0,693.0,20.0,-761.0,368.0
433109,0,0.0487238217712556,0.0490086045641601,0.7439120844743242,0.646329897706246,0.5059935113854908,46,Masculin,17095.5,30.0,24,Higher education,Married,348826.5,416758.23,2.2142857142857144,-682,-47.0,0,0.1266333333333333,168.0,0.0105,4252.564285714286,32.0,65538.0,0.863262619873844,-1489.0,1178.0,48.0,-374.0,469.0
330171,0,0.0959065200083643,0.0778227211440864,0.7580904540739132,0.1131963530622281,0.6310202409931737,56,Masculin,23116.5,4.0,9,Secondary / secondary special,Separated,297040.5,246555.495,0.2692307692307692,-3563,-14.0,0,0.20548,-2416.0,0.003069,-1821.5325,47.0,0.0,0.9400656814449918,-185.0,-185.0,12.0,-307.0,218.0
120466,0,0.1091083371958782,0.02924,0.4447557568457376,0.5262949398096192,0.474652957890136,29,Masculin,26316.0,30.0,6,Secondary / secondary special,Married,900000.0,1103094.585,1.1176470588235294,-3457,-14.0,1,0.1670857142857142,-2273.0,0.030755,314.4202941176472,15.0,1851160.5,1.0,-38.0,1261.0,60.0,-417.0,119.0
218867,0,0.0251497406482321,0.0396579600573861,0.7684570642808969,0.5352762504724826,0.5059935113854908,44,Masculin,31347.0,10.0,6,Secondary / secondary special,Married,790434.0,800056.4400000001,0.3333333333333333,-2087,-2.0,0,0.1161,252.0,0.072508,0.0,12.0,149458.5,0.9668187794879728,-211.0,909.5,30.0,-300.0,84.0
383988,0,0.0349861192690024,0.0642908382171812,0.2598076423985638,0.5352762504724826,0.5059935113854908,36,Masculin,21375.0,21.6,11,Secondary / secondary special,Married,332473.5,1798166.385,0.453125,-2135,-2.0,0,0.1759259259259259,8.0,0.025164,4884.546796875001,33.0,15039.0,0.7571168988491823,-109.0,8.0,108.0,-8.0,452.0
426681,0,0.1274721776965855,0.0440485512920908,0.4771115987947999,0.4083588531230431,0.4092328017983517,45,Masculin,36450.0,9.333333333333334,9,Secondary / secondary special,Married,827496.0,89271.945,0.0,-321,-43.0,1,0.2076923076923077,20.0,0.01885,0.0,66.0,7762.5,1.0430853299705758,-421.0,20.0,28.0,-709.0,584.0
327401,0,0.1243813468210914,0.0361542272126816,0.0623590996706832,0.3376727217405312,0.5059935113854908,59,Masculin,19705.5,11.88888888888889,2,Secondary / secondary special,Single / not married,545040.0,3475346.355,0.0,-4402,-2.0,0,0.109475,179.0,0.018634,-345.5588414634147,54.0,68040.0,0.0,-166.0,31150.0,214.0,-187.0,1516.0
153109,0,0.0300868047564706,0.0331761370727619,0.6341252348946393,0.4794489811780563,0.7284976222349274,53,Masculin,33493.5,12.75,4,Secondary / secondary special,Married,1009566.0,3012843.465,0.8848920863309353,-2134,-1.0,0,0.130578947368421,661.0,0.0116569999999999,665.1210431654677,31.0,253116.0,0.0,-1394.0,661.0,68.0,-574.0,653.0
